code,name,country,exchange,currency,type,market
A1MD34,"Advanced Micro Devices, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
AALL34,American Airlines Group Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
AAPL34,Apple Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
ABTT34,Abbott Laboratories,Brazil,SA,BRL,Preferred Stock,sa_bdr
ADBE34,Adobe Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
AMGN34,Amgen Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
AMZO34,"Amazon.com, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
AVGO34,Broadcom Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
AXPB34,American Express Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
BABA34,BABA34,Brazil,SA,BRL,Preferred Stock,sa_bdr
BCSA34,BCSA34,Brazil,SA,BRL,Preferred Stock,sa_bdr
BERK34,Berkshire Hathaway Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
BHPG34,BHPG34,Brazil,SA,BRL,Preferred Stock,sa_bdr
BIIB34,Biogen Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
BKNG34,Booking Holdings Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
BLAK34,"BlackRock, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
BMYB34,Bristol-Myers Squibb Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
BOAC34,Bank of America Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
BOEI34,The Boeing Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
BONY34,The Bank of New York Mellon Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
CAON34,Capital One Financial Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
CHCM34,"Charter Communications, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
CHME34,CME Group Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
CMCS34,Comcast Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
CNIC34,Canadian National Railway Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
COCA34,The Coca-Cola Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
COPH34,ConocoPhillips,Brazil,SA,BRL,Preferred Stock,sa_bdr
COWC34,Costco Wholesale Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
CSXC34,CSX Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
CTGP34,Citigroup Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
CVSH34,CVS Health Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
DDNB34,"DuPont de Nemours, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
DGCO34,Dollar General Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
DHER34,Danaher Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
DISB34,The Walt Disney Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
DUKB34,Duke Energy Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
EXXO34,Exxon Mobil Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
F1NI34,"Fidelity National Information Services, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
FBOK34,"Facebook, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
FDMO34,Ford Motor Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
GDBR34,General Dynamics Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
GEOO34,General Electric Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
GILD34,"Gilead Sciences, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
GMCO34,General Motors Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
GOGL34,Alphabet Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
GSGI34,"The Goldman Sachs Group, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
HOME34,"The Home Depot, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
HONB34,Honeywell International Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
ITLC34,Intel Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
JDCO34,"JD.com, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
JNJB34,Johnson & Johnson,Brazil,SA,BRL,Preferred Stock,sa_bdr
JPMC34,JPMorgan Chase & Co,Brazil,SA,BRL,Preferred Stock,sa_bdr
KHCB34,The Kraft Heinz Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
LILY34,Eli Lilly and Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
LMTB34,Lockheed Martin Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
LOWC34,"Lowe's Companies, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
MACY34,"Macy's, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
MCDC34,McDonald's Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
MDLZ34,"Mondelez International, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
MELI34,"MercadoLibre, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
METB34,"MetLife, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
MMMC34,3M Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
MOOO34,"Altria Group, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
MRCK34,"Merck & Co., Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
MSBR34,Morgan Stanley,Brazil,SA,BRL,Preferred Stock,sa_bdr
MSCD34,Mastercard Incorporated,Brazil,SA,BRL,Preferred Stock,sa_bdr
MSFT34,Microsoft Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
MUTC34,"Micron Technology, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
NFLX34,"Netflix, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
NIKE34,"NIKE, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
NOCG34,Northrop Grumman Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
NVDC34,NVIDIA Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
ORCL34,Oracle Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
PEPB34,"PepsiCo, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
PFIZ34,Pfizer Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
PHMO34,Philip Morris International Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
PYPL34,"PayPal Holdings, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
RDSA34,Royal Dutch Shell plc,Brazil,SA,BRL,Preferred Stock,sa_bdr
RIGG34,Transocean Ltd,Brazil,SA,BRL,Common Stock,sa_bdr
SAPP34,SAPP34,Brazil,SA,BRL,Preferred Stock,sa_bdr
SBUB34,Starbucks Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
SCHW34,The Charles Schwab Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
SLBG34,Schlumberger Limited,Brazil,SA,BRL,Preferred Stock,sa_bdr
SSFO34,"salesforce.com, inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
TAKP34,Takeda Pharmaceutical Company Limited,Brazil,SA,BRL,Preferred Stock,sa_bdr
TEXA34,Texas Instruments Incorporated,Brazil,SA,BRL,Preferred Stock,sa_bdr
TGTB34,Target Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
TMCO34,TMCO34,Brazil,SA,BRL,Preferred Stock,sa_bdr
TMOS34,Thermo Fisher Scientific Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
TSLA34,"Tesla, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
TSMC34,TSMC34,Brazil,SA,BRL,Preferred Stock,sa_bdr
TWTR34,"Twitter, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
U1BE34,"Uber Technologies, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
ULEV34,Unilever PLC,Brazil,SA,BRL,Preferred Stock,sa_bdr
UNHH34,UnitedHealth Group Incorporated,Brazil,SA,BRL,Preferred Stock,sa_bdr
UPAC34,Union Pacific Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
UPSS34,"United Parcel Service, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
USBC34,U.S. Bancorp,Brazil,SA,BRL,Preferred Stock,sa_bdr
VERZ34,Verizon Communications Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
VISA34,Visa Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
VRTX34,Vertex Pharmaceuticals Incorporated,Brazil,SA,BRL,Preferred Stock,sa_bdr
W1DC34,Western Digital Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
WALM34,Walmart Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
WFCO34,Wells Fargo & Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
