code,name,country,exchange,currency,type,market
ABCP11,FII ABC Plaza Shopping Fund,Brazil,SA,BRL,ETF,sa_etf
ALMI11,Fundo De Investimento Imobiliario Torre Almirante,Brazil,SA,BRL,ETF,sa_etf
ALUP11,Alupar Investimento S.A,Brazil,SA,BRL,ETF,sa_etf
ALZR11,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
ARRI11,Fundo De Investimento Imobiliario Atrio Reit Recebiveis Imobiliarios,Brazil,SA,BRL,ETF,sa_etf
ATSA11,Cshg Atrium Shopping Santo Andr Fundo De Investimento Imobilirio Fii,Brazil,SA,BRL,ETF,sa_etf
BARI11,Fundo De Investimento Imobiliario Barigui Rendimentos Imobiliario I Fii,Brazil,SA,BRL,ETF,sa_etf
BBFI11B,BB Fundo De Investimento Imobiliario Progressivo,Brazil,SA,BRL,ETF,sa_etf
BBPO11,BB Progressivo II Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
BBRC11,BB Renda Corporativa Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
BBSD11,BB ETF S&P Dividendos Brasil,Brazil,SA,BRL,ETF,sa_etf
BCFF11,Fundo De Investimento Imobiliário - FII BTG Pactual Fundo De Fundos,Brazil,SA,BRL,ETF,sa_etf
BCIA11,Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
BCRI11,Banestes Recebiveis Imobiliarios Fundo Investimento Imobiliario FII,Brazil,SA,BRL,ETF,sa_etf
BEEF11,Minerva SA,Brazil,SA,BRL,ETF,sa_etf
BICR11,Inter Titulos Imobiliarios Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
BIDI11,Banco Inter S.A,Brazil,SA,BRL,ETF,sa_etf
BMLC11B,Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,Brazil,SA,BRL,ETF,sa_etf
BNFS11,Banrisul N Front Fund Investment IMO FII Fund,Brazil,SA,BRL,ETF,sa_etf
BOVA11,iShares Ibovespa Fundo de &#195;&#141;ndice ETF,Brazil,SA,BRL,ETF,sa_etf
BOVB11,ETF Bradesco Ibovespa Fundo de &#195;&#141;ndice,Brazil,SA,BRL,ETF,sa_etf
BOVV11,It Now Ibovespa Fundo De &#195;&#141;ndice,Brazil,SA,BRL,ETF,sa_etf
BPAC11,Banco BTG Pactual S.A,Brazil,SA,BRL,ETF,sa_etf
BPFF11,Fundo de Investimento Imobiliário - FII Brasil Plural Absoluto Fundo de Fundos,Brazil,SA,BRL,ETF,sa_etf
BPML11,Fundo De Investimento Imobiliario BTG Pactual Shoppings,Brazil,SA,BRL,ETF,sa_etf
BRCO11,Bresco - Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
BRCR11,Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund,Brazil,SA,BRL,ETF,sa_etf
BRGE11,Consórcio Alfa de Administração S.A,Brazil,SA,BRL,ETF,sa_etf
BTCR11,Fundo Infestimento Imobiliario Btg Pactual Credito Imobiliario,Brazil,SA,BRL,ETF,sa_etf
BTLG11,BTG Pactual Logística Fundo de Investimento Imobiliário,Brazil,SA,BRL,ETF,sa_etf
BZLI11,Brazil Realty Fundo Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
CARE11,Máxima Renda Corporativa Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
CBOP11,Castello Branco Off Park Fund In Im,Brazil,SA,BRL,ETF,sa_etf
CEOC11,Fundo de Investimento Imobiliário FII CEO Cyrela Fund,Brazil,SA,BRL,ETF,sa_etf
CNES11,Fundo De Investimento Imobiliario Bm Cenesp - Fii - Inicio De Negociacao,Brazil,SA,BRL,ETF,sa_etf
CPFF11,Capitania Reit FOF - Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
CPTS11,Capitania Securities II Fundo Investimento Imobiliario FII,Brazil,SA,BRL,ETF,sa_etf
CPTS11B,Capitania Securities II Fundo Investimento Imobiliario FII,Brazil,SA,BRL,ETF,sa_etf
CRFF11,Caixa Rio Bravo Fundo De Fundos De Investimento Imobiliario II-Cotas,Brazil,SA,BRL,ETF,sa_etf
CTXT11,Fundo Invest Imobiliario Centro Textil Internacional - Cotas Fund,Brazil,SA,BRL,ETF,sa_etf
CVBI11,Fundo De Investimento Imobiliario VBI Credito,Brazil,SA,BRL,ETF,sa_etf
CXCE11B,Fundo de Investimento Caixa Cedae,Brazil,SA,BRL,ETF,sa_etf
CXRI11,CXFI - Caixa Rio Bravo Fundo Fundos,Brazil,SA,BRL,ETF,sa_etf
CXTL11,Fundo De Investimento Imobiliário Caixa Trx Logística Renda,Brazil,SA,BRL,ETF,sa_etf
DIVO11,It Now IDIV Index Fund - DIVO11 ETF,Brazil,SA,BRL,ETF,sa_etf
DMAC11,Mac Fundo De Investimento Imobiliário fUND,Brazil,SA,BRL,ETF,sa_etf
