code,name,country,exchange,currency,type,market
AALR3,Centro de Imagem Diagnósticos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ABCB4,Banco ABC Brasil S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
ABEV3,Ambev S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AERI3,Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AFLT3,Afluente Transmissão de Energia Elétrica S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AGRO3,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Brazil,SA,BRL,Common Stock,sa_stocks
AHEB6,São Paulo Turismo S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
ALPA3,Alpargatas S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ALPA4,Alpargatas S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
ALPK3,"Allpark Empreendimentos, Participações e Serviços S.A",Brazil,SA,BRL,Common Stock,sa_stocks
ALSO3,Aliansce Sonae Shopping Centers SA,Brazil,SA,BRL,Common Stock,sa_stocks
ALUP3,Alupar Investimento S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ALUP4,Alupar Investimento S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
AMAR3,Marisa Lojas S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AMBP3,Ambipar Participações e Empreendimentos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ANIM3,Anima Holding S.A,Brazil,SA,BRL,Common Stock,sa_stocks
APER3,Alper Consultoria e Corretora de Seguros S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ARZZ3,Arezzo Indústria e Comércio S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ASAI3,Sendas Distribuidora S.A.,Brazil,SA,BRL,Common Stock,sa_stocks
ATOM3,Atom Empreendimentos e Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AURA33,Aura Minerals Inc,Brazil,SA,BRL,Common Stock,sa_stocks
AVLL3,Alphaville S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AZEV3,Azevedo & Travassos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AZEV4,Azevedo & Travassos S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
AZUL4,Azul S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",Brazil,SA,BRL,Common Stock,sa_stocks
BAHI3,Bahema Educação S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BALM4,Baumer S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BAUH4,Excelsior Alimentos S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BAZA3,Banco da Amazônia S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BBAS3,Banco do Brasil S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BBDC3,Banco Bradesco S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BBDC4,Banco Bradesco S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BBRK3,Brasil Brokers Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BBSE3,BB Seguridade Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BDLL4,Bardella S.A. Indústrias Mecânicas,Brazil,SA,BRL,Preferred Stock,sa_stocks
BDRX,INDICE DE BDR NAO PATR GLOBAL INDEX,Brazil,SA,BRL,Common Stock,sa_stocks
BEEF3,Minerva S.A,Brazil,SA,BRL,Common Stock,sa_stocks
