code,name,country,exchange,currency,type,market
A,Agilent Technologies,Health Care,NYSE,USD,Common Stock,us_500
AAL,American Airlines Group,Industrials,NYSE,USD,Common Stock,us_500
AAP,Advance Auto Parts,Consumer Discretionary,NYSE,USD,Common Stock,us_500
AAPL,Apple Inc.,Information Technology,NYSE,USD,Common Stock,us_500
ABBV,AbbVie Inc.,Health Care,NYSE,USD,Common Stock,us_500
ABC,AmerisourceBergen,Health Care,NYSE,USD,Common Stock,us_500
ABMD,Abiomed,Health Care,NYSE,USD,Common Stock,us_500
ABT,Abbott Laboratories,Health Care,NYSE,USD,Common Stock,us_500
ACN,Accenture,Information Technology,NYSE,USD,Common Stock,us_500
ADBE,Adobe Inc.,Information Technology,NYSE,USD,Common Stock,us_500
ADI,Analog Devices Inc.,Information Technology,NYSE,USD,Common Stock,us_500
ADM,Archer-Daniels-Midland Co,Consumer Staples,NYSE,USD,Common Stock,us_500
ADP,Automatic Data Processing,Information Technology,NYSE,USD,Common Stock,us_500
ADSK,Autodesk Inc.,Information Technology,NYSE,USD,Common Stock,us_500
AEE,Ameren Corp,Utilities,NYSE,USD,Common Stock,us_500
AEP,American Electric Power,Utilities,NYSE,USD,Common Stock,us_500
AES,AES Corp,Utilities,NYSE,USD,Common Stock,us_500
AFL,Aflac,Financials,NYSE,USD,Common Stock,us_500
AIG,American International Group,Financials,NYSE,USD,Common Stock,us_500
AIZ,Assurant,Financials,NYSE,USD,Common Stock,us_500
AJG,Arthur J. Gallagher & Co.,Financials,NYSE,USD,Common Stock,us_500
AKAM,Akamai Technologies,Information Technology,NYSE,USD,Common Stock,us_500
ALB,Albemarle Corporation,Materials,NYSE,USD,Common Stock,us_500
ALGN,Align Technology,Health Care,NYSE,USD,Common Stock,us_500
ALK,Alaska Air Group,Industrials,NYSE,USD,Common Stock,us_500
ALL,Allstate Corp,Financials,NYSE,USD,Common Stock,us_500
ALLE,Allegion,Industrials,NYSE,USD,Common Stock,us_500
ALXN,Alexion Pharmaceuticals,Health Care,NYSE,USD,Common Stock,us_500
AMAT,Applied Materials Inc.,Information Technology,NYSE,USD,Common Stock,us_500
AMCR,Amcor,Materials,NYSE,USD,Common Stock,us_500
AMD,Advanced Micro Devices,Information Technology,NYSE,USD,Common Stock,us_500
AME,Ametek,Industrials,NYSE,USD,Common Stock,us_500
AMGN,Amgen Inc.,Health Care,NYSE,USD,Common Stock,us_500
AMP,Ameriprise Financial,Financials,NYSE,USD,Common Stock,us_500
AMT,American Tower Corp.,Real Estate,NYSE,USD,Common Stock,us_500
AMZN,Amazon.com Inc.,Consumer Discretionary,NYSE,USD,Common Stock,us_500
ANET,Arista Networks,Information Technology,NYSE,USD,Common Stock,us_500
ANSS,ANSYS Inc.,Information Technology,NYSE,USD,Common Stock,us_500
ANTM,Anthem,Health Care,NYSE,USD,Common Stock,us_500
AON,Aon plc,Financials,NYSE,USD,Common Stock,us_500
AOS,A.O. Smith Corp,Industrials,NYSE,USD,Common Stock,us_500
APA,APA Corporation,Energy,NYSE,USD,Common Stock,us_500
APD,Air Products & Chemicals,Materials,NYSE,USD,Common Stock,us_500
APH,Amphenol Corp,Information Technology,NYSE,USD,Common Stock,us_500
APTV,Aptiv PLC,Consumer Discretionary,NYSE,USD,Common Stock,us_500
ARE,Alexandria Real Estate Equities,Real Estate,NYSE,USD,Common Stock,us_500
ATO,Atmos Energy,Utilities,NYSE,USD,Common Stock,us_500
ATVI,Activision Blizzard,Communication Services,NYSE,USD,Common Stock,us_500
AVB,AvalonBay Communities,Real Estate,NYSE,USD,Common Stock,us_500
AVGO,Broadcom Inc.,Information Technology,NYSE,USD,Common Stock,us_500
AVY,Avery Dennison Corp,Materials,NYSE,USD,Common Stock,us_500
AWK,American Water Works,Utilities,NYSE,USD,Common Stock,us_500
AXP,American Express,Financials,NYSE,USD,Common Stock,us_500
AZO,AutoZone Inc,Consumer Discretionary,NYSE,USD,Common Stock,us_500
BA,Boeing Company,Industrials,NYSE,USD,Common Stock,us_500
BAC,Bank of America Corp,Financials,NYSE,USD,Common Stock,us_500
BAX,Baxter International Inc.,Health Care,NYSE,USD,Common Stock,us_500
BBY,Best Buy Co. Inc.,Consumer Discretionary,NYSE,USD,Common Stock,us_500
BDX,Becton Dickinson,Health Care,NYSE,USD,Common Stock,us_500
BEN,Franklin Resources,Financials,NYSE,USD,Common Stock,us_500
BF.B,Brown-Forman Corp.,Consumer Staples,NYSE,USD,Common Stock,us_500
BIIB,Biogen Inc.,Health Care,NYSE,USD,Common Stock,us_500
BIO,Bio-Rad Laboratories,Health Care,NYSE,USD,Common Stock,us_500
BK,The Bank of New York Mellon,Financials,NYSE,USD,Common Stock,us_500
BKNG,Booking Holdings Inc,Consumer Discretionary,NYSE,USD,Common Stock,us_500
BKR,Baker Hughes Co,Energy,NYSE,USD,Common Stock,us_500
BLK,BlackRock,Financials,NYSE,USD,Common Stock,us_500
BLL,Ball Corp,Materials,NYSE,USD,Common Stock,us_500
BMY,Bristol-Myers Squibb,Health Care,NYSE,USD,Common Stock,us_500
BR,Broadridge Financial Solutions,Information Technology,NYSE,USD,Common Stock,us_500
BRK.B,Berkshire Hathaway,Financials,NYSE,USD,Common Stock,us_500
BSX,Boston Scientific,Health Care,NYSE,USD,Common Stock,us_500
BWA,BorgWarner,Consumer Discretionary,NYSE,USD,Common Stock,us_500
BXP,Boston Properties,Real Estate,NYSE,USD,Common Stock,us_500
C,Citigroup Inc.,Financials,NYSE,USD,Common Stock,us_500
CAG,Conagra Brands,Consumer Staples,NYSE,USD,Common Stock,us_500
CAH,Cardinal Health Inc.,Health Care,NYSE,USD,Common Stock,us_500
CARR,Carrier Global,Industrials,NYSE,USD,Common Stock,us_500
CAT,Caterpillar Inc.,Industrials,NYSE,USD,Common Stock,us_500
CB,Chubb Limited,Financials,NYSE,USD,Common Stock,us_500
