code,name,country,exchange,currency,type,market,,
ACWI,iShares MSCI ACWI ETF,USA,NASDAQ,USD,ETF,us_etf,,
AGG,iShares Core U.S. Aggregate Bond ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
ARKK,ARK Innovation ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
BIL,SPDR Barclays 1-3 Month T-Bill ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
BIV,Vanguard Intermediate-Term Bond ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
BND,Vanguard Total Bond Market ETF,USA,NASDAQ,USD,ETF,us_etf,,
BNDX,Vanguard Total International Bond ETF,USA,NASDAQ,USD,ETF,us_etf,,
BSV,Vanguard Short-Term Bond ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
DGRO,iShares Core Dividend Growth ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
DIA,SPDR Dow Jones Industrial Average ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
DVY,iShares Select Dividend ETF,USA,NASDAQ,USD,ETF,us_etf,,
EEM,iShares MSCI Emerging Markets ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EFA,iShares MSCI EAFE ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,USA,NASDAQ,USD,ETF,us_etf,,
ESGD,iShares ESG Aware MSCI EAFE ETF,USA,NASDAQ,USD,ETF,us_etf,,
ESGU,iShares ESG MSCI USA ETF,USA,NASDAQ,USD,ETF,us_etf,,
EWA,iShares MSCI Australia ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWC,iShares MSCI Canada ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWCO,Invesco S&P 500 Equal Weight Communication Services ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWD,iShares MSCI Sweden ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWEB,Global X Emerging Markets Internet & E-commerce ETF,USA,NASDAQ,USD,ETF,us_etf,,
EWG,iShares MSCI Germany ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWH,iShares MSCI Hong Kong ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWI,iShares MSCI Italy ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWJ,iShares MSCI Japan ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWJ,iShares MSCI Japan ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWJE,iShares MSCI Japan Equal Weighted ETF,USA,NASDAQ,USD,ETF,us_etf,,
EWJV,iShares MSCI Japan Value ETF,USA,NASDAQ,USD,ETF,us_etf,,
EWK,iShares MSCI Belgium ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWL,iShares MSCI Switzerland ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWM,iShares MSCI Malaysia ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWMC,Invesco S&P MidCap 400 Equal Weight ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWN,iShares MSCI Netherlands ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWO,iShares MSCI Austria ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWP,iShares MSCI Spain ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWQ,iShares MSCI France ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWRE,Invesco S&P 500 Equal Weight Real Estate ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWS,iShares MSCI Singapore ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWSC,Invesco S&P SmallCap 600 Equal Weight ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWT,iShares MSCI Taiwan ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWU,iShares MSCI United Kingdom ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWV,ProShares UltraShort MSCI Japan,USA,NYSE ARCA,USD,ETF,us_etf,,
EWW,iShares MSCI Mexico ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWX,SPDR S&P Emerging Markets Small Cap ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWY,iShares MSCI South Korea ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWZ,iShares MSCI Brazil ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
EWZS,iShares MSCI Brazil Small-Cap ETF,USA,NASDAQ,USD,ETF,us_etf,,
FGD,First Trust Dow Jones Global Select Dividend Index Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
FIW,First Trust Water ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,USA,NYSE ARCA,USD,ETF,us_etf,,
GDMA,Alpha Architect Gdsdn Dynmc Mlt-Asst ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
GDX,VanEck Vectors Gold Miners ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
GDX,VanEck Vectors Gold Miners ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
GDXD,MicroSectors Gold Miners -3X Inverse Leveraged ETNs,USA,NYSE ARCA,USD,ETF,us_etf,,
