code,name,country,exchange,currency,type,market
AAPL,Apple Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
ADBE,Adobe Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
ADI,"Analog Devices, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ADP,"Automatic Data Processing, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ADSK,"Autodesk, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AEP,"American Electric Power Company, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ALGN,"Align Technology, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ALXN,"Alexion Pharmaceuticals, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AMAT,"Applied Materials, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AMD,"Advanced Micro Devices, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AMGN,Amgen Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
AMZN,"Amazon.com, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ANSS,"ANSYS, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ASML,ASML Holding N.V. New York Registry Shares,US,Nasdaq,USD,Define Stock,us_tech_100
ATVI,"Activision Blizzard, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AVGO,Broadcom Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
BIDU,"Baidu, Inc. ADS",US,Nasdaq,USD,Define Stock,us_tech_100
BIIB,Biogen Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
BKNG,Booking Holdings Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
CDNS,"Cadence Design Systems, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
CDW,CDW Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
CERN,Cerner Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,US,Nasdaq,USD,Define Stock,us_tech_100
CHTR,"Charter Communications, Inc. Class A Common Stock New",US,Nasdaq,USD,Define Stock,us_tech_100
CMCSA,Comcast Corporation Class A Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
COST,Costco Wholesale Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
CPRT,"Copart, Inc. (DE) Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
CSCO,"Cisco Systems, Inc. Common Stock (DE)",US,Nasdaq,USD,Define Stock,us_tech_100
CSX,CSX Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
CTAS,Cintas Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
DLTR,Dollar Tree Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
DOCU,"DocuSign, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
DXCM,"DexCom, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
EA,Electronic Arts Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
EBAY,eBay Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
EXC,Exelon Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
FAST,Fastenal Company Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
FB,"Facebook, Inc. Class A Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
FISV,"Fiserv, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
FOX,Fox Corporation Class B Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
FOXA,Fox Corporation Class A Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
GILD,"Gilead Sciences, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
GOOG,Alphabet Inc. Class C Capital Stock,US,Nasdaq,USD,Define Stock,us_tech_100
GOOGL,Alphabet Inc. Class A Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
IDXX,"IDEXX Laboratories, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ILMN,"Illumina, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
INCY,Incyte Corp. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
INTC,Intel Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
INTU,Intuit Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
ISRG,"Intuitive Surgical, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
JD,"JD.com, Inc. American Depositary Shares",US,Nasdaq,USD,Define Stock,us_tech_100
KDP,Keurig Dr Pepper Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
KHC,The Kraft Heinz Company Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
KLAC,KLA Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
LRCX,Lam Research Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
LULU,lululemon athletica inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
MAR,Marriott International Class A Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
MCHP,Microchip Technology Incorporated Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
MDLZ,"Mondelez International, Inc. Class A Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
MELI,"MercadoLibre, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
MNST,Monster Beverage Corporation,US,Nasdaq,USD,Define Stock,us_tech_100
MRNA,"Moderna, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
MRVL,Marvell Technology Group Ltd. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
MSFT,Microsoft Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
MTCH,"Match Group, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
MU,"Micron Technology, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
MXIM,"Maxim Integrated Products, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
NFLX,"Netflix, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
NTES,"NetEase, Inc. American Depositary Shares",US,Nasdaq,USD,Define Stock,us_tech_100
NVDA,NVIDIA Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
NXPI,NXP Semiconductors N.V. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
OKTA,"Okta, Inc. Class A Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ORLY,"O'Reilly Automotive, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
PAYX,"Paychex, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
PCAR,PACCAR Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
PDD,Pinduoduo Inc. American Depositary Shares,US,Nasdaq,USD,Define Stock,us_tech_100
PEP,"PepsiCo, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
PTON,"Peloton Interactive, Inc. Class A Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
PYPL,"PayPal Holdings, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
